,formatted_address,name,opening_hours,place_id,price_level,rating,types,user_ratings_total,website
56,"1055 Center Rd, Plum, PA 15239, United States",Pronio's Food Services,,ChIJv5BxXZPqNIgRnRbD5Kash3M,,4.8,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",17,http://www.proniosfoods.com/
57,"6211 US-30, Greensburg, PA 15601, United States",Sam's Club,{'open_now': False},ChIJ7cCmJOraNIgR8cbC7Xtaqws,1.0,4.4,"['bakery', 'electronics_store', 'store', 'food', 'point_of_interest', 'establishment']",982,https://www.samsclub.com/club/greensburg-pa-sams-club/4847
58,"Canonsburg, PA 15317, United States",Giant Eagle Prepared Foods,{'open_now': False},ChIJ0QPoSLlVNIgR0ZnjCsfxkEc,2.0,2.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,http://www.gianteagle.com/
59,"202 Costco Dr, Pittsburgh, PA 15205, United States",Costco Wholesale,{'open_now': False},ChIJYzGX3UpZNIgR_850thltfFw,2.0,4.6,"['department_store', 'store', 'point_of_interest', 'establishment']",3634,http://www.costco.com/warehouse-locations/pittsburgh-PA-332.html?utm_term=KW&utm_campaign=Homepage&utm_medium=GMB&utm_source=Google&utm_content=Link
60,"500 Suncrest Towne Centre Drive, Morgantown, WV 26505, United States",Kroger,{'open_now': True},ChIJwfMi0z17NYgRaPgLctqUFGY,2.0,4.1,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",431,https://www.kroger.com/stores/grocery/wv/morgantown/suncrest/029/00813?cid=loc_02900813_gmb
61,"185 Wilson Rd, Bentleyville, PA 15314, United States",McDonald's,{'open_now': True},ChIJH2oiLPsDNYgRNgtGI0ixCY8,1.0,3.2,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",579,https://www.mcdonalds.com/us/en-us/location/PA/BENTLEYVILLE/185-WILSON-RD/17107.html?cid=RF:YXT:GMB::Clicks
62,"730 E Pittsburgh St, Greensburg, PA 15601, United States",Shop & Save,{'open_now': False},ChIJj1PrDTjQNIgRH6lkldBivJY,,4.2,"['grocery_or_supermarket', 'supermarket', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",877,https://www.shopnsavefood.com/StoreLocator/Search/?ZipCode=15601&miles=10
63,"1920 W Chestnut St, Washington, PA 15301, United States",Interstate Foodland Inc,{'open_now': False},ChIJ5cF4pguyNYgRzmgH72ikhgo,,4.3,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",523,http://www.foodlandstores.com/
64,"1495 Park Ave, Washington, PA 15301, United States",Gabby Market,{'open_now': False},ChIJYQKVLvutNYgRfthAZlMb2d0,,4.6,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",262,https://m.facebook.com/thegabbymarket/
65,"5878 Northumberland St, Pittsburgh, PA 15217, United States",Food Shoppe,{'open_now': False},ChIJFWbuuADyNIgRYShQuP2H4RU,,4.8,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",109,http://www.foodshoppe.com/
66,"5414 Second Avenue, Pittsburgh, PA 15207, United States",Dylamato's Market,{'open_now': False},ChIJK9_5ibXxNIgRdjWG1tjoV5s,,4.9,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",138,http://dylamatos.market/
67,"800 Vanderbilt Rd, Connellsville, PA 15425, United States",MARTIN'S,{'open_now': False},ChIJc5x0KCElNYgRJxlBJckfWSU,,4.4,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",1031,https://stores.martinsfoods.com/pa/connellsville/800-vanderbilt-rd?y_source=1_NDE5NTgxNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
68,"4935 Tuscarawas Rd, Beaver, PA 15009, United States",Shop N Save,{'open_now': False},ChIJR40XVZltNIgRYJ5gLA1T5UY,,4.2,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",219,https://www.shopnsavefood.com/StoreLocator/Store/?L=1793&S=
69,"600 Willowbrook Plaza, Belle Vernon, PA 15012, United States",Shop ‘n Save,{'open_now': False},ChIJ_bwGM9HhNIgRTTr7DPu8mME,,4.3,"['grocery_or_supermarket', 'supermarket', 'store', 'point_of_interest', 'food', 'establishment']",703,http://www.shopnsavefood.com/
